,Sleep_quality,Time_in_bed,Activity_steps,Start_date,Start_time,Start_Dayofweek,Ate_late,Drank_coffee,Stressful_day,Worked_out,Activity_steps_log,Sleep_quality_log
115,70,398,10583,2016-11-17,11,Thursday,0,0,0,0,9.267004219093725,4.248495242049359
116,73,429,16053,2016-11-18,10,Friday,0,0,1,0,9.683651026979414,4.290459441148391
117,80,459,8794,2016-11-19,11,Saturday,0,0,0,0,9.081824949740755,4.382026634673881
118,75,429,2622,2016-11-20,10,Sunday,0,0,0,0,7.871692664323645,4.31748811353631
119,88,499,11744,2016-11-21,9,Monday,0,0,1,0,9.371097750854297,4.477336814478207
120,82,466,10437,2016-11-22,10,Tuesday,0,0,0,0,9.253112463820052,4.406719247264253
121,79,450,11113,2016-11-23,10,Wednesday,0,0,0,0,9.315870873185647,4.3694478524670215
122,84,484,10919,2016-11-24,10,Thursday,0,0,0,0,9.298259670014065,4.430816798843313
123,86,490,9250,2016-11-25,9,Friday,0,0,0,0,9.132378830506472,4.454347296253507
124,68,365,13595,2016-11-26,11,Saturday,0,0,0,0,9.51745735706657,4.219507705176107
125,87,484,7323,2016-11-27,9,Sunday,0,0,0,0,8.89877535906107,4.465908118654584
126,86,477,10917,2016-11-28,10,Monday,0,0,0,0,9.29807648628027,4.454347296253507
127,87,474,7594,2016-11-29,10,Tuesday,0,0,0,0,8.935113740791747,4.465908118654584
128,78,531,10429,2016-11-30,8,Wednesday,0,0,0,0,9.252345666121213,4.356708826689592
129,83,451,8809,2016-12-01,10,Thursday,0,0,0,0,9.083529205109796,4.418840607796598
130,73,416,11637,2016-12-02,11,Friday,0,0,0,0,9.361944956108077,4.290459441148391
131,71,395,8340,2016-12-03,11,Saturday,0,0,0,0,9.028818495352793,4.2626798770413155
132,80,517,2204,2016-12-04,9,Sunday,0,0,0,0,7.698029170272805,4.382026634673881
133,73,495,7723,2016-12-05,11,Monday,0,0,0,0,8.951958168569265,4.290459441148391
134,76,408,6149,2016-12-06,11,Tuesday,0,0,0,0,8.724044745953469,4.330733340286331
136,91,487,8772,2016-12-07,9,Wednesday,0,0,0,0,9.079320109537779,4.51085950651685
137,85,502,10570,2016-12-08,10,Thursday,0,0,0,0,9.265775078864284,4.442651256490317
138,79,519,6468,2016-12-09,10,Friday,0,0,0,0,8.774622220696997,4.3694478524670215
139,81,433,9372,2016-12-10,11,Saturday,0,0,0,0,9.145481799627687,4.394449154672439
140,56,584,3804,2016-12-11,9,Sunday,0,0,0,0,8.24380842366528,4.02535169073515
142,82,475,7191,2016-12-13,11,Tuesday,0,0,0,0,8.880585523102495,4.406719247264253
143,68,388,10047,2017-08-05,11,Saturday,1,0,0,0,9.215029361462314,4.219507705176107
145,64,388,12075,2017-08-07,10,Monday,0,0,0,0,9.398892478520773,4.1588830833596715
146,62,389,7037,2017-08-08,10,Tuesday,0,1,0,0,8.85893722196655,4.127134385045092
147,67,383,4663,2017-08-09,10,Wednesday,0,0,0,0,8.44741429680832,4.204692619390966
148,76,427,8755,2017-08-10,9,Thursday,0,0,0,0,9.077380244719953,4.330733340286331
149,65,408,16574,2017-08-11,10,Friday,0,1,0,1,9.715590481408988,4.174387269895637
150,94,513,8038,2017-08-12,11,Saturday,1,0,1,0,8.991935575009146,4.543294782270004
152,97,513,9620,2017-08-14,8,Monday,0,0,1,0,9.171599543659752,4.574710978503383
153,79,418,14599,2017-08-15,11,Tuesday,1,0,1,0,9.58870831219998,4.3694478524670215
154,81,413,4125,2017-08-16,10,Wednesday,0,1,0,0,8.324821298768782,4.394449154672439
155,76,370,12524,2017-08-17,10,Thursday,1,1,1,0,9.435402082446297,4.330733340286331
156,100,477,15672,2017-08-23,9,Wednesday,0,0,1,1,9.659630959624376,4.605170185988092
157,81,437,11527,2017-08-24,9,Thursday,0,1,1,0,9.352447388601012,4.394449154672439
158,100,509,9441,2017-08-25,10,Friday,0,0,1,1,9.152817185732516,4.605170185988092
161,88,432,9974,2017-08-28,9,Monday,1,0,1,0,9.207736986106068,4.477336814478207
163,96,512,10922,2017-08-29,10,Tuesday,0,0,0,0,9.298534382712099,4.564348191467836
165,61,307,14589,2017-08-31,11,Thursday,1,1,1,0,9.588023099071895,4.110873864173311
166,78,391,1222,2017-09-01,10,Friday,0,0,0,1,7.108244139731541,4.356708826689592
167,90,470,6115,2017-09-02,9,Saturday,0,0,0,1,8.718500048121273,4.499809670330265
168,100,523,3939,2017-09-07,9,Thursday,0,0,1,0,8.278682162970906,4.605170185988092
170,100,590,12525,2017-09-09,9,Saturday,0,0,0,0,9.435481925953065,4.605170185988092
171,94,526,13525,2017-10-30,7,Monday,1,1,0,0,9.512295103714683,4.543294782270004
